Rank,Neighbourhood Id,Neighbourhood Name,Neighbourhood Equity Score,Recommended as NIA
1,24,Black Creek,21.38,Y
2,25,Glenfield-Jane Heights,24.39,Y
3,115,Mount Dennis,26.39,Y
4,112,Beechborough-Greenbrook,26.54,Y
5,121,Oakridge,28.57,Y
6,2,Mount Olive-Silverstone-Jamestown,29.29,Y
7,5,Elms-Old Rexdale,29.54,Y
8,72,Regent Park,29.81,Y
9,55,Thorncliffe Park,33.09,Y
10,85,South Parkdale,33.1,Y
11,61,Crescent Town,33.21,Y
12,111,Rockcliffe-Smythe,33.86,Y
13,139,Scarborough Village,33.94,Y
14,21,Humber Summit,34.3,Y
15,28,Rustic,35.4,Y
16,125,Ionview,35.73,Y
17,44,Flemingdon Park,35.81,Y
18,113,Weston,35.99,Y
19,22,Humbermede,36.09,Y
20,138,Eglinton East,36.28,Y
21,135,Morningside,36.89,Y
22,26,Downsview-Roding-CFB,37.16,Y
23,136,West Hill,37.25,Y
24,27,York University Heights,37.66,Y
25,137,Woburn,39.01,Y
26,3,Thistletown-Beaumond Heights,39.78,Y
27,110,Keelesdale-Eglinton West,40.14,Y
28,43,Victoria Village,40.39,Y
29,91,Weston-Pellam Park,40.47,Y
30,6,Kingsview Village-The Westway,41.76,Y
31,124,Kennedy Park,42.38,Y
32,30,Brookhaven-Amesbury,43.07,N
33,4,Rexdale-Kipling,43.76,N
34,132,Malvern,43.89,N
35,109,Caledonia-Fairbank,44.65,N
36,126,Dorset Park,45.12,N
37,1,West Humber-Clairville,45.78,N
38,35,Westminster-Branson,46.57,N
39,74,North St.James Town,47.55,N
40,127,Bendale,47.72,N
41,120,Clairlea-Birchmount,48.34,N
42,54,O'Connor-Parkview,48.67,N
43,131,Rouge,48.81,N
44,119,Wexford/Maryvale,49.47,N
45,31,Yorkdale-Glen Park,49.53,N
46,73,Moss Park,50.11,N
47,78,Kensington-Chinatown,50.7,N
48,29,Maple Leaf,50.72,N
49,117,L'Amoreaux,50.78,N
50,13,Etobicoke West Mall,51.19,N
51,116,Steeles,51.66,N
52,53,Henry Farm,51.87,N
53,65,Greenwood-Coxwell,52.13,N
54,18,New Toronto,53.21,N
55,128,Agincourt South-Malvern West,53.43,N
56,57,Broadview North,53.69,N
57,45,Parkwoods-Donalda,53.79,N
58,23,Pelmo Park-Humberlea,53.79,N
59,92,Corso Italia-Davenport,54.03,N
60,7,Willowridge-Martingrove-Richview,54.46,N
61,129,Agincourt North,54.67,N
62,118,Tam O'Shanter-Sullivan,55.14,N
63,123,Cliffcrest,55.95,N
64,32,Englemount-Lawrence,56.01,N
65,36,Newtonbrook West,56.07,N
66,8,Humber Heights-Westmount,56.13,N
67,19,Long Branch,56.26,N
68,130,Milliken,56.85,N
69,93,Dovercourt-Wallace Emerson-Juncti,57.09,N
70,107,Oakwood Village,57.33,N
71,108,Briar Hill-Belgravia,57.81,N
72,69,Blake-Jones,58.07,N
73,34,Bathurst Manor,58.41,N
74,134,Highland Creek,58.77,N
75,60,Woodbine-Lumsden,59.08,N
76,70,South Riverdale,59.94,N
77,84,Little Portugal,60.04,N
78,81,Trinity-Bellwoods,60.09,N
79,122,Birchcliffe-Cliffside,60.28,N
80,47,Don Valley Village,60.52,N
81,17,Mimico,62.36,N
82,49,Bayview Woods-Steeles,62.37,N
83,14,Islington-City Centre West,62.51,N
84,11,Eringate-Centennial-West Deane,62.56,N
85,9,Edenbridge-Humber Valley,63.36,N
86,20,Alderwood,63.88,N
87,90,Junction Area,64.27,N
88,86,Roncesvalles,64.95,N
89,50,Newtonbrook East,65.18,N
90,94,Wychwood,65.46,N
91,58,Old East York,65.61,N
92,46,Pleasant View,65.72,N
93,62,East End-Danforth,65.82,N
94,48,Hillcrest Village,65.84,N
95,140,Guildwood,66.19,N
96,114,Lambton Baby Point,66.36,N
97,83,Dufferin Grove,66.79,N
98,59,Danforth East York,66.94,N
99,37,Willowdale West,67.04,N
100,66,Danforth,67.56,N
101,75,Church-Yonge Corridor,67.92,N
102,64,Woodbine Corridor,68.11,N
103,16,Stonegate-Queensway,69.29,N
104,33,Clanton Park,69.53,N
105,51,Willowdale East,69.67,N
106,133,Centennial Scarborough,70.75,N
107,52,Bayview Village,71.65,N
108,80,Palmerston-Little Italy,72.19,N
109,82,Niagara,72.54,N
110,42,Banbury-Don Mills,73.19,N
111,106,Humewood-Cedarvale,73.94,N
112,71,Cabbagetown-South St.James Town,74.42,N
113,12,Markland Wood,74.88,N
114,102,Forest Hill North,74.94,N
115,79,University,75.07,N
116,38,Lansing-Westgate,76.15,N
117,67,Playter Estates-Danforth,76.16,N
118,104,Mount Pleasant West,76.39,N
119,10,Princess-Rosethorn,76.57,N
120,76,Bay Street Corridor,77.07,N
121,87,High Park-Swansea,77.14,N
122,40,St.Andrew-Windfields,77.43,N
123,95,Annex,78.6,N
124,88,High Park North,80.58,N
125,97,Yonge-St.Clair,80.99,N
126,77,Waterfront Communities-The Island,80.99,N
127,68,North Riverdale,81.21,N
128,39,Bedford Park-Nortown,81.55,N
129,96,Casa Loma,82.31,N
130,63,The Beaches,82.62,N
131,41,Bridle Path-Sunnybrook-York Mills,83.04,N
132,98,Rosedale-Moore Park,83.78,N
133,56,Leaside-Bennington,85.82,N
134,89,Runnymede-Bloor West Village,85.85,N
135,99,Mount Pleasant East,86.04,N
136,15,Kingsway South,86.19,N
137,101,Forest Hill South,86.24,N
138,100,Yonge-Eglinton,88.11,N
139,103,Lawrence Park South,90.12,N
140,105,Lawrence Park North,92.05,N
