"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Total Area","   Unemployed","High Shelter Costs","Tenant Average Rent","Average Family Income","After-Tax Household Income","Low Income Families","Low Income Population","Social Assistance Recipients","Seniors Living Alone","Healthy Food Index","Drug Arrests","Assaults","Sexual Assaults","Break & Enters","Robberies","Vehicle Thefts","Thefts","Murders"
"West Humber-Clairville",1.0,"N/A",33312.0,30.09,1705.0,3270.0,945.0,72820.0,59703.0,3790.0,7590.0,2391.0,160.0,23.82,29.0,259.0,31.0,131.0,82.0,316.0,38.0,3.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",32954.0,4.6,1785.0,3715.0,921.0,57411.0,46986.0,5010.0,11540.0,5525.0,195.0,37.57,24.0,213.0,16.0,34.0,81.0,42.0,3.0,1.0
"Thistletown-Beaumond Heights",3.0,"N/A",10360.0,3.4,525.0,1065.0,887.0,70838.0,57522.0,1080.0,2350.0,1025.0,105.0,42.26,7.0,35.0,3.0,23.0,12.0,13.0,1.0,0.0
"Rexdale-Kipling",4.0,"N/A",10529.0,2.5,600.0,1185.0,857.0,69367.0,51194.0,1110.0,2170.0,1085.0,115.0,23.31,11.0,57.0,5.0,16.0,15.0,22.0,0.0,0.0
"Elms-Old Rexdale",5.0,"N/A",9456.0,2.9,465.0,1080.0,966.0,61196.0,49425.0,1190.0,2790.0,1367.0,60.0,24.71,9.0,53.0,2.0,9.0,14.0,16.0,0.0,0.0
"Kingsview Village-The Westway",6.0,"N/A",22000.0,5.1,1020.0,2730.0,1052.0,68145.0,50714.0,2800.0,6760.0,3742.0,210.0,35.69,12.0,110.0,6.0,34.0,22.0,42.0,5.0,2.0
"Willowridge-Martingrove-Richview",7.0,"N/A",22156.0,5.5,920.0,2645.0,1124.0,79241.0,57048.0,1610.0,3490.0,1757.0,320.0,30.46,6.0,88.0,6.0,32.0,38.0,48.0,4.0,0.0
"Humber Heights-Westmount",8.0,"N/A",10948.0,2.8,380.0,1325.0,1041.0,81267.0,54919.0,820.0,1780.0,587.0,215.0,32.82,3.0,25.0,0.0,24.0,8.0,17.0,4.0,1.0
"Edenbridge-Humber Valley",9.0,"N/A",15535.0,5.5,510.0,1900.0,1127.0,119581.0,62463.0,900.0,1660.0,533.0,200.0,46.41,3.0,26.0,6.0,46.0,3.0,29.0,1.0,0.0
"Princess-Rosethorn",10.0,"N/A",11051.0,5.2,355.0,750.0,1194.0,144943.0,93391.0,460.0,950.0,158.0,80.0,39.52,4.0,25.0,6.0,33.0,20.0,24.0,3.0,1.0
"Eringate-Centennial-West Deane",11.0,"N/A",18588.0,8.6,750.0,1555.0,1108.0,88741.0,69740.0,1060.0,2130.0,669.0,160.0,10.43,7.0,52.0,5.0,28.0,15.0,29.0,5.0,0.0
"Markland Wood",12.0,"N/A",10554.0,2.9,335.0,1060.0,1112.0,100337.0,64297.0,510.0,990.0,184.0,220.0,7.99,2.0,23.0,1.0,18.0,8.0,13.0,2.0,0.0
"Etobicoke West Mall",13.0,"N/A",11848.0,1.7,505.0,1695.0,1078.0,67704.0,50570.0,980.0,2020.0,977.0,110.0,15.41,0.0,40.0,3.0,13.0,3.0,15.0,0.0,1.0
"Islington-City Centre West",14.0,"N/A",43965.0,16.4,1870.0,6380.0,1072.0,87747.0,57658.0,6140.0,11590.0,2058.0,535.0,31.01,30.0,186.0,27.0,104.0,33.0,134.0,37.0,0.0
"Kingsway South",15.0,"N/A",9271.0,2.6,360.0,685.0,1640.0,191204.0,106386.0,260.0,470.0,39.0,90.0,43.15,10.0,24.0,2.0,27.0,8.0,9.0,1.0,0.0
"Stonegate-Queensway",16.0,"N/A",25051.0,7.9,935.0,2830.0,996.0,100867.0,67549.0,1740.0,3080.0,1170.0,270.0,31.23,11.0,66.0,3.0,50.0,12.0,12.0,5.0,0.0
"Mimico",17.0,"N/A",33964.0,6.9,1305.0,7080.0,1009.0,87901.0,55300.0,2720.0,4390.0,1814.0,605.0,21.59,24.0,206.0,17.0,47.0,8.0,33.0,14.0,1.0
"New Toronto",18.0,"N/A",11463.0,3.5,565.0,2105.0,777.0,70398.0,40859.0,1430.0,2410.0,1074.0,200.0,24.84,16.0,82.0,13.0,41.0,15.0,11.0,6.0,1.0
"Long Branch",19.0,"N/A",10084.0,2.3,440.0,1700.0,922.0,77549.0,47680.0,940.0,1520.0,654.0,135.0,28.08,4.0,48.0,2.0,28.0,6.0,14.0,0.0,0.0
"Alderwood",20.0,"N/A",12054.0,5.0,415.0,1005.0,984.0,83584.0,61402.0,640.0,1090.0,422.0,170.0,11.41,4.0,31.0,1.0,26.0,8.0,18.0,8.0,0.0
"Humber Summit",21.0,"N/A",12416.0,7.9,555.0,1235.0,907.0,65757.0,53272.0,1570.0,3330.0,1365.0,65.0,32.33,12.0,91.0,8.0,39.0,19.0,61.0,18.0,0.0
"Humbermede",22.0,"N/A",15545.0,4.4,780.0,1895.0,966.0,59697.0,48655.0,1860.0,4030.0,2081.0,45.0,20.52,19.0,94.0,9.0,23.0,22.0,44.0,1.0,1.0
"Pelmo Park-Humberlea",23.0,"N/A",10722.0,4.2,355.0,1165.0,1019.0,76800.0,59842.0,710.0,1430.0,594.0,55.0,21.71,32.0,50.0,3.0,24.0,10.0,24.0,4.0,1.0
"Black Creek",24.0,"N/A",21737.0,3.4,1180.0,2695.0,846.0,52499.0,39986.0,3680.0,7940.0,4656.0,220.0,41.84,28.0,198.0,18.0,27.0,28.0,53.0,5.0,1.0
"Glenfield-Jane Heights",25.0,"N/A",30491.0,5.2,1550.0,3285.0,818.0,56582.0,44488.0,4420.0,9610.0,5046.0,305.0,41.05,55.0,247.0,24.0,28.0,59.0,63.0,11.0,1.0
"Downsview-Roding-CFB",26.0,"N/A",35052.0,14.9,1420.0,4385.0,905.0,61994.0,44087.0,4060.0,7750.0,3584.0,415.0,23.72,54.0,311.0,26.0,53.0,49.0,88.0,10.0,1.0
"York University Heights",27.0,"N/A",27593.0,13.2,1585.0,4080.0,911.0,59770.0,42916.0,4490.0,7950.0,3444.0,230.0,47.0,59.0,288.0,27.0,96.0,57.0,106.0,33.0,2.0
"Rustic",28.0,"N/A",9941.0,2.1,375.0,1205.0,740.0,59004.0,41187.0,1340.0,2980.0,1471.0,145.0,16.55,10.0,46.0,5.0,15.0,6.0,8.0,3.0,0.0
"Maple Leaf",29.0,"N/A",10111.0,2.5,415.0,1005.0,936.0,68718.0,52174.0,880.0,1770.0,552.0,90.0,14.42,2.0,32.0,1.0,17.0,4.0,14.0,0.0,0.0
"Brookhaven-Amesbury",30.0,"N/A",17757.0,3.5,915.0,2615.0,893.0,60364.0,43512.0,2320.0,4780.0,2355.0,140.0,43.1,15.0,91.0,9.0,31.0,25.0,29.0,3.0,0.0
"Yorkdale-Glen Park",31.0,"N/A",14804.0,5.9,580.0,1645.0,916.0,70539.0,49803.0,1470.0,2850.0,1193.0,150.0,21.66,24.0,139.0,15.0,64.0,19.0,41.0,23.0,1.0
"Englemount-Lawrence",32.0,"N/A",22372.0,3.6,955.0,3005.0,904.0,86616.0,45087.0,2470.0,5360.0,1712.0,425.0,43.98,4.0,111.0,4.0,59.0,42.0,22.0,7.0,0.0
"Clanton Park",33.0,"N/A",16472.0,4.2,565.0,2235.0,938.0,89550.0,54498.0,1410.0,2560.0,483.0,180.0,19.35,3.0,57.0,10.0,41.0,7.0,49.0,5.0,1.0
"Bathurst Manor",34.0,"N/A",15873.0,4.8,620.0,2175.0,1015.0,76914.0,51076.0,1440.0,2620.0,758.0,325.0,18.8,0.0,56.0,2.0,34.0,8.0,24.0,4.0,0.0
"Westminster-Branson",35.0,"N/A",26274.0,3.7,1290.0,4710.0,1095.0,62791.0,42465.0,3500.0,6540.0,1857.0,575.0,24.63,5.0,108.0,7.0,19.0,9.0,24.0,6.0,0.0
"Newtonbrook West",36.0,"N/A",23831.0,4.7,1050.0,4135.0,1135.0,66505.0,46815.0,3480.0,6690.0,1338.0,295.0,26.14,7.0,120.0,8.0,55.0,14.0,47.0,7.0,0.0
"Willowdale West",37.0,"N/A",16936.0,2.9,845.0,3475.0,1117.0,83632.0,54226.0,1670.0,3050.0,349.0,320.0,17.67,6.0,73.0,6.0,35.0,14.0,12.0,2.0,0.0
"Lansing-Westgate",38.0,"N/A",16164.0,5.4,665.0,2535.0,1332.0,105947.0,60980.0,7560.0,12430.0,296.0,105.0,19.11,8.0,63.0,7.0,42.0,8.0,27.0,7.0,0.0
"Bedford Park-Nortown",39.0,"N/A",23236.0,5.5,650.0,2320.0,1124.0,161110.0,76160.0,1340.0,2440.0,304.0,310.0,47.74,5.0,30.0,4.0,100.0,12.0,30.0,9.0,0.0
"St.Andrew-Windfields",40.0,"N/A",17812.0,7.3,770.0,2170.0,1270.0,162988.0,80145.0,1590.0,3350.0,469.0,115.0,18.23,7.0,44.0,6.0,57.0,10.0,10.0,4.0,0.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9266.0,8.8,360.0,740.0,2388.0,356777.0,161448.0,460.0,810.0,28.0,55.0,22.26,7.0,18.0,5.0,51.0,1.0,12.0,3.0,0.0
"Banbury-Don Mills",42.0,"N/A",27695.0,10.0,1010.0,4045.0,1213.0,115239.0,60203.0,2000.0,3790.0,573.0,535.0,21.31,13.0,68.0,7.0,55.0,12.0,6.0,9.0,0.0
"Victoria Village",43.0,"N/A",17510.0,4.7,870.0,2820.0,867.0,65104.0,43743.0,2040.0,4320.0,1894.0,300.0,26.9,10.0,111.0,6.0,19.0,10.0,20.0,4.0,2.0
"Flemingdon Park",44.0,"N/A",21933.0,2.5,1050.0,3520.0,932.0,55824.0,43511.0,3290.0,7800.0,3477.0,255.0,21.66,8.0,123.0,5.0,14.0,19.0,5.0,3.0,0.0
"Parkwoods-Donalda",45.0,"N/A",34805.0,7.5,1685.0,4925.0,1114.0,74645.0,52550.0,3370.0,7200.0,3026.0,365.0,33.6,8.0,141.0,9.0,45.0,25.0,24.0,3.0,0.0
"Pleasant View",46.0,"N/A",15818.0,3.0,810.0,1805.0,1075.0,71782.0,60065.0,1730.0,3540.0,595.0,70.0,22.56,4.0,47.0,4.0,32.0,13.0,7.0,2.0,0.0
"Don Valley Village",47.0,"N/A",27051.0,4.1,1330.0,4065.0,1114.0,69884.0,51247.0,3430.0,7040.0,1585.0,210.0,37.87,15.0,103.0,14.0,64.0,17.0,26.0,8.0,0.0
"Hillcrest Village",48.0,"N/A",16934.0,5.3,660.0,2260.0,678.0,81484.0,57682.0,2180.0,4350.0,555.0,350.0,48.46,3.0,34.0,12.0,33.0,9.0,20.0,1.0,0.0
"Bayview Woods-Steeles",49.0,"N/A",13154.0,4.1,495.0,1810.0,1459.0,88861.0,61716.0,1420.0,3080.0,450.0,175.0,35.61,3.0,31.0,7.0,33.0,0.0,18.0,1.0,0.0
"Newtonbrook East",50.0,"N/A",16097.0,4.1,710.0,2945.0,1203.0,84163.0,54195.0,2380.0,4600.0,519.0,190.0,29.12,14.0,70.0,4.0,41.0,7.0,5.0,6.0,1.0
"Willowdale East",51.0,"N/A",50434.0,5.0,2300.0,11140.0,1453.0,80607.0,55154.0,6260.0,13330.0,833.0,270.0,28.9,15.0,118.0,16.0,80.0,22.0,44.0,12.0,0.0
"Bayview Village",52.0,"N/A",21396.0,5.2,910.0,4320.0,1441.0,92800.0,58028.0,2090.0,4250.0,375.0,180.0,32.12,8.0,67.0,9.0,33.0,8.0,13.0,5.0,0.0
"Henry Farm",53.0,"N/A",15723.0,2.6,890.0,3085.0,1156.0,65901.0,47659.0,2060.0,4220.0,975.0,70.0,20.8,5.0,58.0,11.0,12.0,8.0,9.0,1.0,0.0
"O'Connor-Parkview",54.0,"N/A",18675.0,4.9,970.0,2830.0,865.0,73050.0,48969.0,2000.0,3910.0,2377.0,180.0,37.63,12.0,118.0,11.0,34.0,20.0,7.0,6.0,0.0
"Thorncliffe Park",55.0,"N/A",21108.0,3.1,1070.0,3570.0,1055.0,49530.0,38645.0,3030.0,8700.0,3996.0,275.0,34.53,20.0,71.0,3.0,24.0,12.0,4.0,11.0,0.0
"Leaside-Bennington",56.0,"N/A",16828.0,4.8,635.0,1415.0,1158.0,158847.0,85039.0,590.0,930.0,171.0,250.0,40.94,6.0,19.0,2.0,33.0,7.0,4.0,2.0,0.0
